Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 959 has 3 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 11 virtual machines, with 19 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 960 has 2 low density subscriptions, 5 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 0 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 961 has 0 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 38 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 962 has 7 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 44 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 963 has 4 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 6 sockets. They are running 41 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 964 has 6 low density subscriptions, 1 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 17 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 965 has 0 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 44 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 966 has 5 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 18 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 967 has 3 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 6 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 968 has 3 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 15 virtual machines, with 2 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 969 has 9 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 39 virtual machines, with 6 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 970 has 4 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 0 virtual machines, with 17 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 971 has 9 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 37 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 972 has 0 low density subscriptions, 0 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 36 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 973 has 6 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 7 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 974 has 5 low density subscriptions, 3 high density subscriptions, and 4 physical servers with a total of 7 sockets. They are running 45 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 975 has 3 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 7 sockets. They are running 11 virtual machines, with 14 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 976 has 0 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 4 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 977 has 0 low density subscriptions, 6 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 6 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 978 has 1 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 38 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 979 has 2 low density subscriptions, 5 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 40 virtual machines, with 3 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 980 has 0 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 6 virtual machines, with 7 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 981 has 2 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 16 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 982 has 2 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 7 sockets. They are running 34 virtual machines, with 9 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 983 has 9 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 16 virtual machines, with 7 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 984 has 6 low density subscriptions, 6 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 32 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 985 has 7 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 28 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
